"","SITE","TREATMENT","TRAP","ASTER2","Baby.CROTON","CAAM2","CHFA2","CROTON","DESMO","EUP1","FAB","PASPA2","PHAM4","PIEC2","PINE_CONE","PINUS","PIPA2","POLY","PRSE2","RHUS","RUBUS","SANIC4","SCLERIA","SMILAX","Sp13","Sp17","Sp20","Sp22","Sp23","Sp26","Sp34","Sp38","SPIDER"
"18",16,"1-YEAR ROUGH","C",0,0,0,82.7971911,0,0,5.6985921,0,0,0.3352113,1.3408452,0,52.6281741,0.6704226,0,0,0.6704226,0,0,0,0,0,1.3408452,0,0,0,0,0,0,0
"19",17,"1-YEAR ROUGH","A",0.3352113,0,0,0,0,0,0,0,70.7295843,0.3352113,0,0,0,2.3464791,0,0,0,6.704226,0,1.6760565,0,1.0056339,0,0,0.3352113,0,0,0,0,0
"20",17,"1-YEAR ROUGH","B",0,0,44.9183142,0,0,0,0,0,4.3577469,4.0225356,0.3352113,0,0,1.3408452,0,0.3352113,6.0338034,20.112678,0,0,1.0056339,0,0,0,0,0,0,0,2.6816904,0
"21",17,"1-YEAR ROUGH","C",0,0,3.0169017,0,0,0,0,0,0,10.3915503,0,0,0,1.0056339,0,0,1.3408452,34.1915526,0,0,0,0,0.3352113,0,0,0,0,0,0.3352113,0
"22",1,"BURN","A",0,0,0,0,0,0,0,0,149,0,2,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,"BURN","B",0,0,14,0,0,0,0,0,0,24,11,0,0,7,0,0,3,166,0,1,3,1,0,0,0,0,0,0,0,0
"24",1,"BURN","C",0,0,50,0,0,0,0,0,0,378,1,0,0,15,0,4,6,351,6,0,0,0,0,0,0,0,0,0,7,0
"25",4,"BURN","A",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",4,"BURN","B",0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",4,"BURN","C",0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,4,0,269,0,0,0,0,0,0,0,1,6,0,0,0
"28",6,"BURN","A",0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"29",6,"BURN","B",0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1
"30",6,"BURN","C",0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,4,0,0,0,7,0,0,0,0,0,14,0,0
"31",7,"BURN","A",0,0,0,0,0,1,0,0,0,0,5,2,0,9,0,4,0,0,0,0,6,7,0,0,0,0,0,0,0,0
"32",7,"BURN","B",0,1,0,0,4,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
"33",7,"BURN","C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",8,"BURN","A",0,0,0,0,0,0,0,0,2,8,6,0,0,2,1,42,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"35",8,"BURN","B",0,5,81,0,0,0,0,1,0,4,4,0,0,5,1,1,0,95,0,0,1,0,0,1,2,3,0,1,0,0
"36",8,"BURN","C",0,2,37,0,0,0,0,0,0,14,1,0,0,3,0,0,0,56,0,0,1,1,0,0,0,0,1,0,0,0
"37",16,"BURN","A",0,0,0,134,0,1,1,0,0,7,0,0,86,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"38",16,"BURN","B",0,0,0,125,0,0,3,0,0,0,0,0,149,0,0,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0
"39",16,"BURN","C",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"40",17,"BURN","A",0,0,30,0,1,0,0,0,0,2,1,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
"41",17,"BURN","B",9,0,50,0,0,0,0,0,0,19,5,4,0,3,0,1,7,124,0,0,0,0,0,0,0,0,0,0,2,1
"42",17,"BURN","C",0,0,69,0,0,0,0,0,0,22,2,0,0,1,0,0,54,59,0,0,0,1,0,0,0,0,0,0,0,1
